Description	ID	>AT	>Cc	>So
Organisms_order_>AT_>Cc_>So	645	1	1	1
Organisms_order_>AT_>Cc_>So	646	1	0	0
Organisms_order_>AT_>Cc_>So	648	3	1	1
Organisms_order_>AT_>Cc_>So	652	0	0	1
Organisms_order_>AT_>Cc_>So	653	3	1	2
Organisms_order_>AT_>Cc_>So	654	1	0	0
Organisms_order_>AT_>Cc_>So	655	1	0	0
Organisms_order_>AT_>Cc_>So	658	0	1	1
Organisms_order_>AT_>Cc_>So	665	0	1	1
Organisms_order_>AT_>Cc_>So	666	0	0	1
Organisms_order_>AT_>Cc_>So	668	0	1	0
Organisms_order_>AT_>Cc_>So	670	1	1	1
Organisms_order_>AT_>Cc_>So	671	0	1	0
Organisms_order_>AT_>Cc_>So	673	5	2	1
Organisms_order_>AT_>Cc_>So	676	0	0	1
Organisms_order_>AT_>Cc_>So	677	0	0	1
Organisms_order_>AT_>Cc_>So	678	0	1	0
Organisms_order_>AT_>Cc_>So	679	0	1	0
Organisms_order_>AT_>Cc_>So	680	0	1	0
Organisms_order_>AT_>Cc_>So	682	3	1	2
Organisms_order_>AT_>Cc_>So	683	1	1	1
Organisms_order_>AT_>Cc_>So	685	1	1	1
Organisms_order_>AT_>Cc_>So	686	1	1	1
Organisms_order_>AT_>Cc_>So	689	1	1	1
Organisms_order_>AT_>Cc_>So	690	0	1	0
Organisms_order_>AT_>Cc_>So	693	0	1	0
Organisms_order_>AT_>Cc_>So	695	0	0	1
Organisms_order_>AT_>Cc_>So	697	2	1	1
Organisms_order_>AT_>Cc_>So	703	0	1	1
Organisms_order_>AT_>Cc_>So	704	3	3	1
Organisms_order_>AT_>Cc_>So	706	0	0	1
Organisms_order_>AT_>Cc_>So	711	2	0	0
Organisms_order_>AT_>Cc_>So	712	0	0	1
Organisms_order_>AT_>Cc_>So	714	0	1	1
Organisms_order_>AT_>Cc_>So	715	1	0	0
Organisms_order_>AT_>Cc_>So	716	4	2	5
Organisms_order_>AT_>Cc_>So	721	0	0	1
Organisms_order_>AT_>Cc_>So	725	0	0	1
Organisms_order_>AT_>Cc_>So	726	0	2	0
Organisms_order_>AT_>Cc_>So	727	4	0	0
Organisms_order_>AT_>Cc_>So	732	0	1	1
Organisms_order_>AT_>Cc_>So	734	0	0	1
Organisms_order_>AT_>Cc_>So	735	0	1	0
Organisms_order_>AT_>Cc_>So	743	0	0	1
Organisms_order_>AT_>Cc_>So	744	0	1	0
