unspecified,records,790,sequence size, 30727978,comment,49
minimum length,number of contigs,cumulative sequence
73135,116,15.215944,
73422,114,15.069674,
74654,113,14.996252,
76735,112,14.921598,
76937,111,14.844863,
77025,110,14.767926,
77860,109,14.690901,
77913,108,14.613041,
78777,107,14.535128,
79181,106,14.456351,
79235,105,14.37717,
79348,104,14.297935,
79758,103,14.218587,
80114,102,14.138829,
80342,101,14.058715,
80573,100,13.978373,
81673,99,13.8978,
82040,98,13.816127,
83117,97,13.734087,
83523,96,13.65097,
84132,95,13.567447,
84344,94,13.483315,
84810,93,13.398971,
85212,92,13.314161,
86051,91,13.228949,
86879,90,13.142898,
88867,89,13.056019,
89519,88,12.967152,
90138,87,12.877633,
90850,86,12.787495,
91322,85,12.696645,
91822,84,12.605323,
92311,83,12.513501,
92364,82,12.42119,
92491,81,12.328826,
94032,80,12.236335,
94728,79,12.142303,
95183,78,12.047575,
98753,77,11.952392,
99569,76,11.853639,
101959,75,11.75407,
103297,74,11.652111,
103716,73,11.548814,
103753,72,11.445098,
104069,71,11.341345,
104901,70,11.237276,
105909,69,11.132375,
106874,68,11.026466,
107443,67,10.919592,
112763,66,10.812149,
113940,65,10.699386,
114983,64,10.585446,
115167,63,10.470463,
115652,62,10.355296,
115737,61,10.239644,
115939,60,10.123907,
116239,59,10.007968,
116401,58,9.891729,
116481,57,9.775328,
120558,56,9.658847,
120762,55,9.538289,
121361,54,9.417527,
121861,53,9.296166,
122054,52,9.174305,
122610,51,9.052251,
123979,50,8.929641,
126426,49,8.805662,
126955,48,8.679236,
127298,47,8.552281,
127352,46,8.424983,
127842,45,8.297631,
130672,44,8.169789,
138921,43,8.039117,
140976,42,7.900196,
141197,41,7.75922,
142003,40,7.618023,
144419,39,7.47602,
145760,38,7.331601,
149659,37,7.185841,
149963,36,7.036182,
151145,35,6.886219,
151173,34,6.735074,
155760,33,6.583901,
158389,32,6.428141,
158747,31,6.269752,
160827,30,6.111005,
162474,29,5.950178,
162799,28,5.787704,
162978,27,5.624905,
163483,26,5.461927,
164207,25,5.298444,
164877,24,5.134237,
165928,23,4.96936,
172443,22,4.803432,
174015,21,4.630989,
175325,20,4.456974,
179487,19,4.281649,
183759,18,4.102162,
185106,17,3.918403,
196341,16,3.733297,
197239,15,3.536956,
199137,14,3.339717,
205773,13,3.14058,
213574,12,2.934807,
216335,11,2.721233,
227193,10,2.504898,
227348,9,2.277705,
227979,8,2.050357,
228920,7,1.822378,
242955,6,1.593458,
251036,5,1.350503,
257043,4,1.099467,
278564,3,0.842424,
279440,2,0.56386,
284420,1,0.28442,
